naics	susb_statenaics_firms	yr	state
44	383	2001	ME
48	100	2001	ME
51	74	2001	ME
52	142	2001	ME
53	62	2001	ME
54	132	2001	ME
55	116	2001	ME
56	129	2001	ME
61	58	2001	ME
62	301	2001	ME
71	34	2001	ME
72	185	2001	ME
81	85	2001	ME
95	35	2001	ME
99	0	2001	ME
11	4	2001	MD
21	19	2001	MD
22	27	2001	MD
23	579	2001	MD
31	704	2001	MD
42	899	2001	MD
44	1106	2001	MD
48	330	2001	MD
51	285	2001	MD
52	472	2001	MD
53	300	2001	MD
54	991	2001	MD
55	438	2001	MD
56	696	2001	MD
61	248	2001	MD
62	744	2001	MD
71	151	2001	MD
72	651	2001	MD
81	471	2001	MD
95	153	2001	MD
99	0	2001	MD
11	5	2001	MA
21	15	2001	MA
22	40	2001	MA
23	426	2001	MA
31	1567	2001	MA
42	1268	2001	MA
44	1162	2001	MA
48	387	2001	MA
51	476	2001	MA
52	631	2001	MA
53	275	2001	MA
54	1232	2001	MA
55	618	2001	MA
56	773	2001	MA
61	362	2001	MA
62	1088	2001	MA
71	212	2001	MA
72	789	2001	MA
81	462	2001	MA
95	193	2001	MA
99	0	2001	MA
11	13	2001	MI
21	47	2001	MI
22	35	2001	MI
23	528	2001	MI
31	2370	2001	MI
42	1463	2001	MI
44	1582	2001	MI
48	443	2001	MI
51	337	2001	MI
52	583	2001	MI
53	320	2001	MI
54	988	2001	MI
55	802	2001	MI
56	1034	2001	MI
61	231	2001	MI
62	1179	2001	MI
71	199	2001	MI
72	1083	2001	MI
81	633	2001	MI
95	252	2001	MI
99	0	2001	MI
11	10	2001	MN
21	20	2001	MN
22	33	2001	MN
23	380	2001	MN
31	1380	2001	MN
42	1183	2001	MN
44	1109	2001	MN
48	307	2001	MN
51	277	2001	MN
52	483	2001	MN
53	250	2001	MN
54	656	2001	MN
55	567	2001	MN
56	547	2001	MN
61	192	2001	MN
62	893	2001	MN
71	140	2001	MN
72	725	2001	MN
81	457	2001	MN
95	152	2001	MN
99	0	2001	MN
11	17	2001	MS
21	51	2001	MS
22	36	2001	MS
23	170	2001	MS
31	675	2001	MS
42	464	2001	MS
44	599	2001	MS
48	191	2001	MS
51	100	2001	MS
52	221	2001	MS
53	93	2001	MS
54	171	2001	MS
55	186	2001	MS
56	223	2001	MS
61	84	2001	MS
62	334	2001	MS
71	41	2001	MS
72	315	2001	MS
81	166	2001	MS
95	79	2001	MS
99	0	2001	MS
11	10	2001	MO
21	44	2001	MO
22	46	2001	MO
23	440	2001	MO
31	1250	2001	MO
42	1200	2001	MO
44	1255	2001	MO
48	375	2001	MO
51	255	2001	MO
52	518	2001	MO
53	273	2001	MO
54	627	2001	MO
55	553	2001	MO
56	544	2001	MO
61	222	2001	MO
62	949	2001	MO
71	146	2001	MO
72	809	2001	MO
81	473	2001	MO
95	194	2001	MO
99	0	2001	MO
11	6	2001	MT
21	36	2001	MT
22	13	2001	MT
23	52	2001	MT
31	113	2001	MT
42	202	2001	MT
44	271	2001	MT
48	88	2001	MT
51	54	2001	MT
52	110	2001	MT
53	34	2001	MT
54	95	2001	MT
55	70	2001	MT
56	73	2001	MT
61	24	2001	MT
62	176	2001	MT
71	30	2001	MT
72	149	2001	MT
81	54	2001	MT
95	24	2001	MT
99	0	2001	MT
11	10	2001	NE
21	15	2001	NE
22	10	2001	NE
23	133	2001	NE
31	372	2001	NE
42	491	2001	NE
44	535	2001	NE
48	162	2001	NE
51	106	2001	NE
52	250	2001	NE
53	90	2001	NE
54	204	2001	NE
55	184	2001	NE
56	197	2001	NE
61	70	2001	NE
62	338	2001	NE
71	61	2001	NE
